,Value
0,1000
1,200
2,1000
3,400
4,600
5,600
6,200
7,600
8,2000
9,2000
10,600
11,2000
12,200
13,200
14,800
15,800
16,600
17,600
18,400
19,400
20,2000
21,200
22,400
23,200
24,800
25,1000
26,400
27,200
28,1000
29,2000
30,800
31,400
32,1000
33,600
34,2000
35,800
36,2000
37,1000
38,1000
39,400
40,2000
41,600
42,2000
43,2000
44,400
45,800
46,800
47,400
48,800
49,300
50,2000
51,200
52,800
53,1000
54,800
55,100
56,200
57,300
58,800
59,800
60,800
61,1000
62,800
63,2000
64,400
65,200
66,400
67,1000
68,1000
69,800
70,2000
71,1000
72,400
73,100
74,400
75,500
76,800
77,2000
78,800
79,2000
80,1000
81,800
82,800
83,200
84,600
85,2000
86,200
87,800
88,1000
89,400
90,400
91,400
92,1000
93,1000
94,1000
95,1000
96,300
97,800
98,1000
99,300
100,600
101,2000
102,200
103,400
104,400
105,200
106,400
107,100
108,200
109,800
110,2000
111,600
112,2000
113,2000
114,400
115,400
116,200
117,1000
118,1000
119,400
120,100
121,800
122,1000
123,600
124,2000
125,1000
126,100
127,800
128,1000
129,400
130,400
131,400
132,400
133,800
134,400
135,100
136,400
137,400
138,800
139,1000
140,2000
141,400
142,800
143,1000
144,600
145,400
146,800
147,800
148,400
149,2000
150,400
151,400
152,2000
153,200
154,800
155,200
156,1000
157,1000
158,600
159,400
160,2000
161,300
162,2000
163,200
164,1000
165,3000
166,400
167,600
168,1000
169,1000
170,1000
171,200
172,2000
173,2000
174,200
175,800
176,1000
177,200
178,1000
179,800
180,1000
181,400
182,200
183,400
184,200
185,400
186,200
187,400
188,400
189,800
190,2000
191,200
192,2000
193,400
194,400
195,400
196,2000
197,600
198,600
199,200
200,800
201,800
202,800
203,300
204,800
205,200
206,800
207,200
208,200
209,1000
210,800
211,800
212,400
213,1000
214,800
215,100
216,600
217,600
218,600
219,2000
220,2000
221,400
222,100
223,400
224,200
225,800
226,400
227,1000
228,100
229,2000
230,600
231,200
232,600
233,800
234,600
235,600
236,1000
237,1000
238,400
239,400
240,1000
241,400
242,800
243,400
244,400
245,400
246,400
247,400
248,800
249,200
250,800
251,600
252,2000
253,400
254,600
255,400
256,600
257,400
258,2000
259,1000
260,600
261,600
262,200
263,100
264,1000
265,200
266,1000
267,1000
268,800
269,800
270,2000
271,200
272,2000
273,400
274,1000
275,2000
276,400
277,1000
278,800
279,1000
280,1000
281,1000
282,200
283,100
284,300
285,1000
286,400
287,1000
288,400
289,100
290,1000
291,400
292,800
293,400
294,100
295,1000
296,1000
297,2000
298,600
299,200
300,800
301,600
302,300
303,600
304,1000
305,2000
306,800
307,1000
308,800
309,200
310,600
311,1000
312,400
313,300
314,300
315,2000
316,300
317,2000
318,1000
319,600
320,2000
321,2000
322,600
323,200
324,1000
325,600
326,1000
327,400
328,600
329,1000
330,400
331,2000
332,800
333,200
334,600
335,500
336,1000
337,800
338,2000
339,1000
340,200
341,100
342,2000
343,400
344,600
345,1000
346,400
347,2000
348,600
349,100
350,800
351,600
352,400
353,600
354,500
355,400
356,800
357,100
358,200
359,1000
360,800
361,2000
362,200
363,800
364,2000
365,200
366,800
367,400
368,1000
369,2000
370,400
371,1000
372,800
373,500
374,600
375,200
376,300
377,700
378,800
379,400
380,600
381,400
382,400
383,800
384,1000
385,400
386,600
387,400
388,600
389,200
390,1000
391,400
392,1000
393,800
394,200
395,800
396,2000
397,1000
398,800
399,600
400,1000
401,400
402,1000
403,400
404,200
405,1000
406,800
407,1000
408,200
409,5000
410,1000
411,600
412,200
413,2000
414,1000
415,500
416,2000
417,2000
418,400
419,800
420,2000
421,400
422,400
423,200
424,400
425,100
426,600
427,400
428,400
429,500
430,200
431,1000
432,500
433,400
434,600
435,1000
436,800
437,200
438,2000
439,1000
440,400
441,300
442,400
443,200
444,1000
445,800
446,800
447,500
448,800
449,800
450,2000
451,500
452,500
453,600
454,400
455,800
456,400
457,600
458,600
459,400
460,400
461,800
462,600
463,2000
464,1000
465,400
466,2000
467,800
468,600
469,800
470,1000
471,1000
472,800
473,400
474,800
475,1000
476,100
477,200
478,400
479,400
480,800
481,4000
482,300
483,800
484,2000
485,200
486,400
487,200
488,300
489,800
490,2000
491,1000
492,800
493,1000
494,400
495,200
496,1000
497,200
498,3000
499,200
500,200
501,400
502,1000
503,1000
504,2000
505,800
506,400
507,800
508,1000
509,800
510,200
511,400
512,400
513,500
514,300
515,200
516,100
517,800
518,300
519,400
520,600
521,200
522,500
523,300
524,200
525,400
526,600
